"X","host_id","group","infector_id","infector_group","exposure_time","infectious_time","recovery_time"
1,1875,1,NA,NA,0,0,6
13,7087,1,NA,NA,0,0,9
2,10240,1,NA,NA,0,0,4
5,2878,1,NA,NA,0,0,7
7,973,1,NA,NA,0,0,7
3,2522,1,NA,NA,0,0,5
4,2818,1,1875,1,1,3,10
11,493,1,2878,1,2,4,10
8,1901,1,973,1,2,4,9
6,9199,1,973,1,2,3,9
12,6205,1,2878,1,2,4,11
9,8098,1,1875,1,2,4,11
31,1720,1,9199,1,4,11,15
10,9437,1,9199,1,4,6,12
14,7137,1,2818,1,5,6,12
25,2030,1,6205,1,5,7,15
20,8494,1,8098,1,5,7,15
26,2836,1,9199,1,5,7,14
17,6835,1,2818,1,5,6,12
46,8870,1,493,1,6,8,16
15,10084,1,8098,1,6,8,13
22,3588,1,9199,1,6,8,13
27,7044,1,6835,1,6,7,13
16,1838,1,7137,1,7,9,13
33,6485,1,7137,1,7,9,15
30,1530,1,7137,1,7,10,15
29,804,1,2030,1,7,8,15
19,6841,1,9437,1,7,8,12
18,934,1,7044,1,8,10,16
23,7678,1,7044,1,8,9,15
32,4889,1,7044,1,8,10,15
47,9572,1,8870,1,9,10,16
38,9014,1,804,1,9,11,18
42,5737,1,7137,1,9,11,17
52,10633,1,6841,1,9,12,18
50,7574,1,2030,1,9,11,17
24,1606,1,2836,1,9,10,16
21,284,1,7137,1,9,11,16
28,736,1,3588,1,10,11,17
48,5877,1,2030,1,10,12,18
62,2643,1,7678,1,10,12,19
58,9850,1,3588,1,10,12,18
37,7697,1,3588,1,10,12,20
57,9169,1,1606,1,10,12,18
60,541,1,10084,1,10,14,19
43,8389,1,9572,1,11,13,17
59,411,1,6485,1,11,15,19
53,2707,1,284,1,12,13,20
75,6829,1,736,1,12,15,21
35,2299,1,7574,1,12,14,19
56,9059,1,6485,1,12,13,18
36,5686,1,7678,1,12,14,19
54,7627,1,7574,1,12,14,18
34,1898,1,4889,1,12,13,18
39,9749,1,9014,1,13,14,19
65,96,1,7697,1,13,15,20
40,10168,1,9014,1,13,14,20
66,2610,1,9850,1,13,15,20
41,5234,1,2643,1,13,15,21
44,8419,1,5877,1,13,15,20
64,10460,1,7697,1,14,16,23
68,5892,1,5877,1,14,16,22
45,8700,1,7678,1,14,15,19
94,7522,1,9572,1,14,17,23
80,41,1,9169,1,14,16,22
49,6391,1,2643,1,14,16,22
69,7640,1,2707,1,15,17,21
92,7130,1,541,1,15,19,24
